Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,VOLUME ,No of trades 
01-Feb-23,"1,542.20","1,555.05","1,528.05","1,533.75","1,545.15","1,551.10","61,94,199","1,57,639"
31-Jan-23,"1,548.90","1,548.90","1,513.00","1,538.80","1,534.00","1,533.75","94,48,126","2,13,737"
30-Jan-23,"1,528.80","1,544.00","1,520.00","1,519.15","1,538.00","1,538.80","69,64,719","1,87,399"
27-Jan-23,"1,546.00","1,550.95","1,507.40","1,543.00","1,518.60","1,519.15","62,09,955","2,00,961"
25-Jan-23,"1,547.00","1,556.00","1,538.75","1,551.90","1,542.00","1,543.00","41,58,617","99,299"
24-Jan-23,"1,560.00","1,568.80","1,549.75","1,548.00","1,551.00","1,551.90","52,00,802","1,33,921"
23-Jan-23,"1,535.00","1,553.30","1,528.10","1,525.55","1,548.00","1,548.00","48,55,020","1,42,861"
20-Jan-23,"1,538.00","1,545.00","1,524.00","1,538.90","1,527.10","1,525.55","64,96,429","1,56,478"
19-Jan-23,"1,539.90","1,549.55","1,526.15","1,545.40","1,534.00","1,538.90","61,65,284","1,33,347"
18-Jan-23,"1,544.75","1,551.85","1,539.60","1,539.50","1,545.00","1,545.40","58,43,098","1,48,114"
17-Jan-23,"1,527.00","1,542.20","1,524.00","1,525.50","1,538.80","1,539.50","59,22,644","1,86,504"
16-Jan-23,"1,510.00","1,528.00","1,502.30","1,503.65","1,523.90","1,525.50","60,73,063","1,81,302"
13-Jan-23,"1,483.50","1,519.40","1,468.00","1,480.60","1,504.00","1,503.65","1,16,10,426","2,97,370"
12-Jan-23,"1,481.95","1,485.00","1,455.00","1,471.25","1,482.95","1,480.60","65,91,385","2,18,505"
11-Jan-23,"1,470.00","1,494.00","1,464.00","1,469.75","1,471.05","1,471.25","61,73,092","2,00,568"
10-Jan-23,"1,482.00","1,483.90","1,454.05","1,484.45","1,470.80","1,469.75","71,58,624","1,71,260"
09-Jan-23,"1,448.20","1,489.35","1,448.20","1,448.50","1,485.50","1,484.45","1,14,98,717","2,69,942"
06-Jan-23,"1,470.00","1,475.00","1,446.50","1,475.20","1,449.80","1,448.50","64,43,714","2,54,921"
05-Jan-23,"1,505.90","1,505.90","1,469.25","1,494.80","1,475.60","1,475.20","98,68,404","2,94,920"
04-Jan-23,"1,521.00","1,521.00","1,491.10","1,522.55","1,494.95","1,494.80","70,59,590","2,13,900"
03-Jan-23,"1,519.85","1,532.65","1,515.10","1,524.00","1,521.00","1,522.55","45,51,130","1,18,266"
02-Jan-23,"1,514.00","1,526.50","1,504.05","1,508.20","1,524.40","1,524.00","38,01,140","1,03,834"
